lat,lon
14.4271958,121.0253396
14.6603477,120.9795451
14.5563640,121.0842206
14.6996283,121.0403239
14.3942043,121.0136771
14.4633936,120.9763909
14.7580514,121.0117145
14.4936697,121.0153282
14.7865584,121.0503446
14.5691053,121.0365573
14.6115008,121.1014332
14.6930615,120.9664766
14.6642101,121.0847019
14.6116839,121.1059787
14.4368078,121.0067865
14.5487262,121.0123009
14.7189141,121.0096109
14.5718400,121.0269686
14.4148213,121.0450853
14.7391865,121.0087843
14.7034987,121.0562178
14.7576751,121.0007800
14.4084568,121.0214284
14.5876966,121.0637780
14.6773742,120.9829385
14.6194246,121.0207727
14.6930774,121.0338396
14.6921464,120.9574599
14.6143871,120.9826796
14.6597000,121.0763658
14.5252954,120.9923006
14.5611816,121.0552763
14.5405222,121.1030633
14.5204247,121.0139850
14.4912021,121.0242247
14.7802315,121.0296247
14.7087554,121.0467601
14.5620065,121.0056224
14.4175883,120.9962925
14.6465238,121.0408068
14.5801836,121.0201355
14.6441195,121.0699346
14.7135578,121.0289765
14.7068916,120.9685475
14.4854456,121.0448822
14.5890097,121.0646568
14.6609788,120.9687069
14.5415852,121.1059906
14.5294844,120.9929227
14.7179193,120.9482068
14.7150476,120.9465987
14.5795035,121.0709104
14.4406086,121.0247325
14.4733338,120.9817101
